nid,openchannels,capacity
1691,2,2105583
1692,4,334757
1693,2,150000
1694,1,60000
1695,3,6000
1696,2,1810000
1697,0,0
1698,0,0
1699,0,0
1700,1,1500
1701,0,0
1702,1,5000000
1703,0,0
1704,0,0
1705,0,0
1706,0,0
1707,1,100000
1708,1,100000
1709,0,0
1710,0,0
1711,5,2884589
1712,0,0
1713,1,206986
1714,1,60000
1715,0,0
1716,0,0
1717,1,250000
1718,1,28300
1719,0,0
1720,0,0
1721,0,0
1722,5,6846881
1723,69,630739523
1724,16,106000000
1725,2,19000
1726,2,12345
1727,0,0
1728,1,405036
1729,1,325430
1730,0,0
1731,8,9868637
1732,1,57300
1733,1,100000
1734,1,40000
1735,8,6184242
1736,2,2993989
1737,0,0
1738,1,100000
1739,0,0
1740,0,0
1741,7,4124492
1742,1,320000
1743,2,3234
1744,1,100000
1745,3,52777215
1746,3,14578502
1747,1,100000
1748,25,71636885
1749,0,0
1750,0,0
1751,1,300000
1752,129,790148657
1753,6,8595271
1754,1,1000000
1755,5,6633479
1756,0,0
1757,3,3548000
1758,0,0
1759,1,400000
1760,0,0
1761,6,438060
1762,0,0
1763,1,100000
1764,3,4967924
1765,1,250000
1766,0,0
1767,65,32571093
1768,0,0
1769,0,0
1770,3,2572709
1771,1,101001
1772,1,150423
1773,0,0
1774,0,0
1775,0,0
1776,0,0
1777,0,0
1778,0,0
1779,0,0
1780,16,3701000
1781,14,19909649
1782,1,100000
1783,0,0
1784,40,114681172
1785,50,26547117
1786,6,2402998
1787,0,0
1788,2,66308
1789,2,156745
1790,28,58202643
1791,5,14788087
1792,0,0
1793,1,100000
1794,5,6150000
1795,12,7150000
1796,75,5327212
1797,21,31728750
1798,3,689000
1799,1,899846
1800,1,990000
1801,0,0
1802,0,0
1803,0,0
1804,2,4000
1805,0,0
1806,1,100000
1807,0,0
1808,0,0
1809,2,2116268
1810,1,200000
1811,2,305489
1812,0,0
1813,9,90000
1814,0,0
1815,7,2354822
1816,8,11008986
1817,0,0
1818,2,13304
1819,4,7568610
1820,3,2000000
1821,0,0
1822,0,0
1823,14,88461521
1824,0,0
1825,278,1708344105
1826,7,3180000
1827,1,100000
1828,6,1829012
1829,4,9320000
1830,6,4982469
1831,0,0
1832,4,9216817
1833,0,0
1834,1,13500000
1835,1,60000
1836,4,14600
1837,17,10899068
1838,8,2205352
1839,1,500000
1840,1,1000000
1841,0,0
1842,1,150000
1843,0,0
1844,14,6008864
1845,1,500000
1846,1,200000
1847,7,1508750
1848,1,200000
1849,2,25000
1850,3,2750000
1851,4,1155555
1852,1,2000
1853,1,29182
1854,0,0
1855,2,3986560
1856,2,2950000
1857,1,50000
1858,2,2350000
1859,9,14682392
1860,3,400237
1861,1,94473
1862,3,95000
1863,0,0
1864,3,140000
1865,1,100000
1866,4,3240000
1867,1,50092
1868,0,0
1869,1,40000
1870,0,0
